epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,26164,2.3533,3.10869,2.18035,1.33602,0,0.36792,0.35527,0.32823,0.14509,0.3569,0.29448,0.27051,0.10533,2.28688,2.97484,2.19242,1.35966,0,0.00122141,0.00122141,0.00122141
29,27068.5,2.31069,3.11474,2.16018,1.331,0,0.35191,0.37466,0.3375,0.15604,0.36445,0.33228,0.31186,0.12231,2.3142,2.97945,2.19742,1.42504,0,0.00120491,0.00120491,0.00120491
30,27970.4,2.32987,3.09282,2.11865,1.33539,0,0.39993,0.39628,0.35934,0.16282,0.39708,0.34562,0.31716,0.1247,2.24526,2.95412,2.10901,1.36193,0,0.0011884,0.0011884,0.0011884
31,28879.4,2.34026,3.10116,2.14927,1.3173,0,0.35903,0.36524,0.31055,0.13162,0.54001,0.21748,0.26292,0.09754,2.2919,3.00525,2.22466,1.34493,0,0.0011719,0.0011719,0.0011719
32,29785,2.32325,3.10923,2.16781,1.3311,0,0.34947,0.40219,0.3537,0.15688,0.67671,0.25248,0.31566,0.12204,2.28398,2.98554,2.25078,1.34025,0,0.0011554,0.0011554,0.0011554
33,30686.4,2.29476,3.06072,2.11663,1.32137,0,0.3788,0.40534,0.36606,0.16871,0.36796,0.36806,0.32087,0.13478,2.21083,2.8915,2.08831,1.3211,0,0.00113889,0.00113889,0.00113889
34,31590.6,2.30808,3.0626,2.14941,1.31646,0,0.40012,0.40566,0.38356,0.17003,0.37736,0.36424,0.33155,0.13193,2.26204,2.89415,2.08361,1.35791,0,0.00112239,0.00112239,0.00112239
35,32504.5,2.31181,3.06613,2.12042,1.31525,0,0.36864,0.39095,0.35974,0.15849,0.36742,0.35602,0.31728,0.12088,2.26994,2.9795,2.13124,1.34722,0,0.00110589,0.00110589,0.00110589
36,33407.6,2.28102,3.03763,2.0732,1.29954,0,0.41163,0.38217,0.35651,0.16367,0.39813,0.36276,0.32462,0.12856,2.27028,2.93919,2.14094,1.37136,0,0.00108938,0.00108938,0.00108938
37,34315.7,2.31858,3.07359,2.09756,1.3244,0,0.38908,0.39929,0.3692,0.16811,0.36349,0.36852,0.31949,0.13053,2.22553,2.95403,2.09236,1.3481,0,0.00107288,0.00107288,0.00107288
