epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7485.34,4.08462,4.19638,11.9844,1.85955,0,0,0,0,0,4e-05,3e-05,2e-05,1e-05,4.3843,0.60993,13.1012,1.65486,0,0.000554424,0.000554424,0.000554424
2,40955.6,4.68146,4.50734,233.295,2.61279,0,6e-05,3e-05,0.00086,9e-05,0.00012,0.00171,6e-05,1e-05,4.82287,0.63539,14.9608,1.98093,0,0.0010991,0.0010991,0.0010991
3,46696.1,4.89771,4.80539,484.061,2.82671,0,0,0,0,0,0.00013,0.00171,6e-05,1e-05,4.99384,0.67129,998.775,1.93729,0,0.00163277,0.00163277,0.00163277
4,52043.9,5.00332,5.35201,761.666,3.02016,0,0,0,0,0,0,0,0,0,5.22424,0.73719,3727.05,2.04763,0,0.00161749,0.00161749,0.00161749
5,56917.5,5.05665,5.58286,1082.21,2.9149,0,0,0,0,0,0.00011,3e-05,5e-05,5e-05,5.08417,0.75316,16.1357,2.06921,0,0.00160099,0.00160099,0.00160099
6,61723.1,5.05114,5.61479,1283.34,2.84867,0,1e-05,0.00168,1e-05,0,0,0,0,0,4.98355,0.73599,2631.59,1.94328,0,0.00158448,0.00158448,0.00158448
7,66582.8,5.02994,5.34253,1558.35,2.83309,0,7e-05,0.00171,4e-05,1e-05,8e-05,7e-05,4e-05,0,5.02805,0.7159,2016.2,1.91245,0,0.00156798,0.00156798,0.00156798
